TX_PRS_config_fc,TX_PRS_config_mu,TX_PRS_config_BW,TX_PRS_config_nSubframes,TX_PRS_config_subcarrierSpacing,TX_PRS_config_NSizeGrid,TX_PRS_config_NCellID,TX_PRS_config_NStartGrid,TX_PRS_config_NSlot,TX_PRS_config_NFrame,TX_PRS_config_Nfft,TX_PRS_config_SampleRate,TX_PRS_config_CyclicPrefixLengths,TX_PRS_config_SymbolLengths,TX_PRS_config_Windowing,TX_PRS_config_SymbolPhases,TX_PRS_config_symbolsPerSlot,TX_PRS_config_SlotsPerSubframe,TX_PRS_config_SlotsPerFrame,TX_PRS_config_NTxAnts,TX_PRS_config_NRxAnts,TX_PRS_config_NTxBeams,TX_PRS_config_NRxBeams,TX_PRS_config_PRSIDs
60000000000,3,400,1,120,264,0,0,0,0,4096,491520000,544,4640,144,-0,14,8,80,64,64,63,63,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,288,4384,NaN,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33
